Article Title,authors_processed,Abstract,keywords,Publication Year,Journal Abbreviation,research_areas,Funding_orgs_processed,is_ocp,fund_org_count,is_um6p,Cited Reference Count
Hybrid Embedded-Systems-Based Approach to in-Driver Drunk Status Detection Using Image Processing and Sensor Networks,"['Rosero-Montalvo, PD', ' Lopez-Batista, VF', ' Peluffo-Ordonez, DH']","Car drivers under the influence of alcohol is one of the most common causes of road traffic accidents. To tackle this issue, an emerging, suitable alternative is the use of intelligent systems-traditionally based on either sensor networks or artificial vision-that are aimed to prevent starting the car when drunk status on the car driver is detected. In such vein, this paper introduces a system whose main objective is identifying a person having alcohol in the blood through supervised classification of sensor-generated and computer-vision-based data. To do so, some drunk-status criteria are considered, namely: the concentration of alcohol in the car environment, the facial temperature of the driver and the pupil width. Specifically, for data acquisition purposes, the proposed system incorporates a gas sensor, temperature sensor and a digital camera. Acquired data are analyzed into a two-stages machine learning system consisting of feature selection and supervised classification algorithms. Both acquisition and analysis stages are to be performed into a embedded system, and therefore all procedures and algorithms are designed to work at low-computational resources. As a remarkable outcome, due mainly to the incorporation of feature selection and relevance analysis stages, proposed approach reaches a classification performance of 98% while ensures adequate operation conditions for the embedded system.","['Classification algorithms', ' computer vision', ' drunk detection', ' intelligent system', ' sensors']",2021.0,IEEE SENS J,"['Engineering', ' Instruments & Instrumentation', ' Physics']",['SDAS'],False,1,False,35
Phytochemical profiling and anti-aging activities of Euphorbia retusa extract: In silico and in vitro studies,"['Elgamal, AM', ' El Raey, MA', ' Gaara, A', ' Abdelfattah, MAO', ' Sobeh, M']","In this work, the phytochemical profiling of Euphorbia retusa aerial parts by HPLCPDA-MS/MS revealed 21 secondary metabolites including phenolic acids, flavonoids, and their glycoside derivatives. The chemical structures of four isolated compounds (Esculetin, quercetin 3-O-beta-D-glucuronide, kaempferol 3-O-beta-D-glucuronide, and kaempferol 3-O-beta-D-glucoside) were elucidated using mass spectrometry, H-1, and C-13 NMR spectroscopy. Among the isolated compounds, kaempferol-3-O-glucuronide and esculetin were identified for the first time from the plant. An in silico molecular docking study showed the high potential of the identified compounds in the extract to bind to the active sites of four enzymes crucially involved in skin remodeling and aging processes. The in vitro assay confirmed the docking results against collagenase, elastase, hyaluronidase, and tyrosinase enzymes respectively. Among the four isolated compounds, kaempferol 3-O-glucoside was the highest active compound against the aforementioned enzymes. Moreover, the extract showed substantial antioxidant activity in DPPH assay. In conclusion, E. retusa is a substantial source for bioactive secondary metabolites with potential application in aging. (C) 2021 The Author(s). Published by Elsevier B.V. on behalf of King Saud University.","['Euphorbia retusa', ' Anti-aging', ' Antioxidant', ' Collagenase', ' Elastase', ' Hyaluronidase', ' Tyrosinase', 'SELECTIVE-INHIBITION', ' ANTIOXIDANT', ' HYALURONIDASE', ' DEGRADATION', ' ACID']",2021.0,ARAB J CHEM,['Chemistry'],[''],False,1,False,37
Evaluation of precipitation simulations in CMIP6 models over Uganda,"['Ngoma, H', ' Wen, W', ' Ayugi, B', ' Babaousmail, H', ' Karim, R', ' Ongoma, V']","This study employed 15 CMIP6 GCMs and evaluated their ability to simulate rainfall over Uganda during 1981-2014. The models and the ensemble mean were assessed based on the ability to reproduce the annual climatology, seasonal rainfall distribution and trend. Statistical metrics used include mean bias error, normalized root mean square error, and pattern correlation coefficient. The Taylor diagram and Taylor skill score (TSS) were used in ranking the models. The models' performance varies greatly from one season to the other. The models reproduced the observed bimodal rainfall pattern of March to May (MAM) and September to November (SON) occurring over the region. Some models slightly overestimated, while some slightly underestimated, the MAM rainfall. However, there was a high rainfall overestimation during SON by most models. The models showed a positive spatial correlation with observed dataset, whereas a low correlation was shown inter-annually. Some models could not capture the rainfall patterns around local-scale features, for example, around the Lake Victoria basin and mountainous areas. The best performing models identified in the study include GFDL-ESM4, CanESM5, CESM2-WACCM, MRI-ESM2-0, NorESM2-LM, UKESM1-0-LL, and CNRM-CM6-1. The models CNRM-CM6-1, and CNRM-ESM2 underestimated rainfall throughout the annual cycle and mean climatology. However, these two models better reproduced the spatial trends of rainfall during both MAM and SON. Caution should be taken when employing the models in seasonal climate change studies as their performance varies from one season to another. The model spread in CMIP6 over the study area also calls for further investigation on the attributions and possible implementation of robust approaches of machine learning to minimize the biases.","['CHIRPS', ' CMIP6', ' CRU', ' East Africa', ' Model Evaluation', ' Rainfall', ' Uganda']",2021.0,INT J CLIMATOL,['Meteorology & Atmospheric Sciences'],"['NSFC', 'YFA']",False,2,False,98
Reflected BSDEs with jumps in time-dependent convex cadlag domains,"['Eddahbi, M', ' Fakhouri, I', ' Ouknine, Y']","In the first part of the paper, we study the unique solvability of multidimensional reflected backward stochastic differential equations (RBSDEs) of Wiener-Poisson type with reflection in the inward spatial normal direction of a time-dependent adapted cadlag convex set D = {D-t ,t is an element of [0, T]}. The existence result is obtained by approximating the solutions of this class of RBSDEs by solutions of BSDEs with reflection in discretizations of D, while the uniqueness is established by using Ito's formula. In the second part of the paper, we show that the solutions of our RBSDEs can be approximated via a non-standard penalization method. (C) 2020 Elsevier B.V. All rights reserved.","['Reflected backward stochastic differential equation', ' Poisson point process', ' Time-dependent convex domain', ' Penalization method', 'STOCHASTIC DIFFERENTIAL-EQUATIONS', ' OPTIMAL SWITCHING PROBLEM', ' BACKWARD SDES', ' BARRIERS', ' DRIVEN', ' SYSTEM']",2020.0,STOCH PROC APPL,['Mathematics'],"['RG', 'II']",False,2,False,30
Towards industrialization of perovskite solar cells using slot die coating,"['Verma, A', ' Martineau, D', ' Hack, E', ' Makha, M', ' Turner, E', ' Nuesch, F', ' Heier, J']","Carbon-based hole transport layer-free carbon mesoscopic perovskite solar cells (MPSCs) are considered to be cell architectures with high potential for commercialization, due to their enhanced stability. In the standard process for large area and module fabrication, mesoporous layers of TiO2, ZrO2 and carbon are screen printed onto fluorine doped tin oxide (FTO) coated with a compact TiO2 (cTiO(2)) layer. In this work, we sequentially replaced screen printing by slot die coating one by one for all layers until we achieved a fully slot die coated solar cell. Slot die coating is a manufacturing technique with a much higher throughput than screen printing. We demonstrate that slot die coated layers need not be sintered separately as opposed to the screen printed layers, but can rather be co-fired for increased manufacturing speed and efficacy. We characterize the inks, coating process, morphology and performance of these solar cells. The cells show efficiencies comparable to those of the screen printed control devices. The cells also show extraordinarily high shelf life stability. We also demonstrate that ellipsometry can be used as an efficient (in-situ) tool to characterize the stack structure of the cells.","['HALIDE PEROVSKITE', ' HIGH-EFFICIENCY', ' OXIDE', ' STABILITY']",2020.0,J MATER CHEM C,"['Materials Science', ' Physics']",['SFOE'],False,1,False,49
Natural Phosphate Supported Titania as a Novel Solid Acid Catalyst for Oleic Acid Esterification,"['Essamlali, Y', ' Larzek, M', ' Essaid, B', ' Zahouily, M']","In the present study, a novel solid acid catalyst based on titanium dioxide (2.5-10 wt %) supported on natural phosphate (TiO2/NP) was prepared by a sol-gel process, and 10 wt % loaded catalyst was characterized by several physicochemical techniques. The performances of the synthesized catalyst were investigated in esterification of oleic acid with methanol. The catalytic performance was screened under different reaction conditions, namely, loading amount of TiO2, calcination temperature, molar ratio of methanol to oleic acid, reaction temperature, and amount of catalyst. Under optimal conditions, the catalyst loaded with 10 wt % TiO2 and calcined at 800 C showed the highest oleic acid conversion of 87%. The catalyst showed a good stability under high reaction temperature and can be reused without severe loss of activity. As a versatile application, the TiO2(10)/NP catalyst exhibits a good ability for the esterification of free fatty acids in a highly acidic feedstock.","['BIODIESEL PRODUCTION', ' FATTY-ACIDS', ' HETEROGENEOUS CATALYSTS', ' TRANSESTERIFICATION', ' FEEDSTOCKS', ' METHANOL', ' OXIDE', ' OILS']",2017.0,IND ENG CHEM RES,['Engineering'],"['MAScIR Foundation', 'OCP']",True,2,False,53
Use of Novel Non-Toxic Bismuth Catalyst for the Preparation of Flexible Polyurethane Foam,"['El Khezraji, S', ' Thakur, S', ' Raihane, M', ' Lopez-Manchado, MA', ' Belachemi, L', ' Verdejo, R', ' Lahcini, M']","Foam products are one of the largest markets for polyurethane (PU) and are heavily used in many sectors. However, current PU formulations use highly toxic and environmentally unfriendly production processes. Meanwhile, the increasing environmental concerns and regulations are intensifying the research into green and non-toxic products. In this study, we synthesized flexible polyurethane foam (PUF) using different weight percentages (0.025%, 0.05% and 0.1%) of a non-toxic bismuth catalyst. The bismuth-catalyzed foams presented a well evolved cellular structure with an open cell morphology. The properties of the bismuth-catalyzed flexible PUF, such as the mechanical, morphological, kinetic and thermal behaviors, were optimized and compared with a conventional tin-catalyzed PUF. The bismuth-catalyst revealed a higher isocyanate conversion efficiency than the stannous octoate catalyst. When comparing samples with similar densities, the bismuth-catalyzed foams present better mechanical behavior than the tin-catalyzed sample with similar thermal stability. The high solubility of bismuth triflate in water, together with its high Lewis acidity, have been shown to benefit the production of PU foams.","['non-toxic', ' polyurethane foam', ' bismuth catalyst', ' flexible foam', 'REACTION-KINETICS', ' FT-IR', ' TIN', ' POLYMERS', ' PHASE']",2021.0,POLYMERS-BASEL,['Polymer Science'],['AEI'],False,1,False,51
Inter-Kingdom Networks of Canola Microbiome Reveal Bradyrhizobium as Keystone Species and Underline the Importance of Bulk Soil in Microbial Studies to Enhance Canola Production,"[""Floc'h, JB"", ' Hamel, C', ' Laterriere, M', ' Tidemann, B', ' St-Arnaud, M', ' Hijri, M']","The subterranean microbiota of plants is of great importance for plant growth and health, as root-associated microbes can perform crucial ecological functions. As the microbial environment of roots is extremely diverse, identifying keystone microorganisms in plant roots, rhizosphere, and bulk soil is a necessary step towards understanding the network of influence within the microbial community associated with roots and enhancing its beneficial elements. To target these hot spots of microbial interaction, we used inter-kingdom network analysis on the canola growth phase of a long-term cropping system diversification experiment conducted at four locations in the Canadian Prairies. Our aims were to verify whether bacterial and fungal communities of canola roots, rhizosphere, and bulk soil are related and influenced by diversification of the crop rotation system; to determine whether there are common or specific core fungi and bacteria in the roots, rhizosphere, and bulk soil under canola grown in different environments and with different levels of cropping system diversification; and to identify hub taxa at the inter-kingdom level that could play an important ecological role in the microbiota of canola. Our results showed that fungi were influenced by crop diversification, which was not the case on bacteria. We found no core microbiota in canola roots but identified three core fungi in the rhizosphere, one core mycobiota in the bulk soil, and one core bacterium shared by the rhizosphere and bulk soil. We identified two bacterial and one fungal hub taxa in the inter-kingdom networks of the canola rhizosphere, and one bacterial and two fungal hub taxa in the bulk soil. Among these inter-kingdom hub taxa, Bradyrhizobium sp. and Mortierella sp. are particularly influential on the microbial community and the plant. To our knowledge, this is the first inter-kingdom network analysis utilized to identify hot spots of interaction in canola microbial communities.","['Sequencing', ' Plant microbiota', ' Soil', ' Rhizosphere', ' Roots', 'BRASSICA-NAPUS', ' BACTERIAL COMMUNITY', ' CROP-ROTATION', ' RHIZOSPHERE MICROBIOME', ' FUNGAL COMMUNITIES', ' BLACK-BOX', ' PLANT', ' DIVERSITY', ' GROWTH', ' ECOLOGY']",,MICROB ECOL,"['Environmental Sciences & Ecology', ' Marine & Freshwater Biology', ' Microbiology']","['ABIP', 'PCARP', ' Agriculture and Agri-Food Canada Canola Cluster Initiative', ' Alberta Canola Producers Commission', ' Saskatchewan Canola Development Commission', ' Manitoba Canola Growers Association', ' Canola Council of Canada', ' Western Grains Research Foundation', 'NSERC']",False,9,False,105
"Microstructures, mechanical properties and tribological behaviors of amorphous carbon coatings in-situ grown on polycarbonate surfaces","['Wang, YX', ' Guan, W', ' Fischer, CB', ' Wehner, S', ' Dang, R', ' Li, JL', ' Wang, CT', ' Guo, WM']","Pure amorphous carbon (a-C) coating, chromium doped amorphous carbon (a-C/Cr) coating and silicon doped amorphous carbon (a-C/Si) coating were synthesized on Polycarbonate (PC) plastic substrates by continuous treatment of different plasma combinations. Microstructures, mechanical properties and tribological behaviors of the as-presented coatings were systematically investigated. As a result, the in-situ growth mechanisms were demonstrated for all of these carbonaceous coatings. This in-situ growth meant an in-situ transformation from the polymer structure into inorganic structure from the surface or subsurface of the substrate followed by an epitaxial growth on the transformed inorganic layer. Cr and Si dopant generated a bulky microstructure, leading to a higher density of in-situ grown a-C/Cr and a-C/Si coatings than the a-C coating on PC substrates. The hardness and elastic modulus of PC substrate were significantly improved by these in-situ grown carbonaceous coatings. Pure a-C coating showed the best protective effect on PC substrate under sliding-friction condition, with scaly protection mechanism, among these different coatings. The fundamental for good protective effect of pure a-C coating on PC was the in-situ growth mechanism, which endowed reliable adhesion of hard a-C coating on soft PC substrate even if there were cracks under sliding condition.","['Pure amorphous carbon coating', ' Doped amorphous carbon coatings', ' Polycarbonate substrate', ' In-situ growth mechanism', ' Scaly protection', 'DIAMOND-LIKE CARBON', ' DLC FILMS', ' RAMAN-SPECTRA', ' PERFORMANCE', ' EVOLUTION', ' TOUGHNESS', ' CHROMIUM']",2021.0,APPL SURF SCI,"['Chemistry', ' Materials Science', ' Physics']","['NSFC', 'CAS', ' Key R & D Programs in Zhejiang Province [2020C03102]', ' Major Project of Ningbo Science and Technology Innovation 2025 [2018B10028]']",False,4,False,47
"Advances on CO2 storage. Synthetic porous solids, mineralization and alternative solutions","['Assen, AH', ' Belmabkhout, Y', ' Adil, K', ' Lachehab, A', ' Hassoune, H', ' Aggarwal, H']","Carbon Dioxide (CO2), produced naturally, is the primary carbon source for life on Earth. In the pre-industrial period, it was regulated by photosynthetic organisms and geological phenomena. The increasingly growing industrial CO2 emissions drive the research and development aiming at discovering new approaches to capture the bulk of CO2 emissions from different sources and further (i) sequester it at different storage sites, (ii) use it in different sectors for production of valuable commodities. In a perspective view aiming to exploit the enriched CO2, it is sometimes mandatory to store it temporarily in pure or likely pure gas form, before performing another purification or use cycle. In this review, we give an overview about the adsorbed-phase CO2 storage as a critical or complementary step, in the expected future deployment of carbon-friendly processes and cost-efficient disruptive technologies, not related to the commonly debated Enhanced Oil Recovery (EOR). From the research and development perspectives, we link the properties of existing storage agents to their associated performances and we review all the potential materials to achieve high volumetric and gravimetric CO2 loading. We analyze the CO2 storage performances of different solid-state materials and we put into perspective the importance of implementing CO2 storage media and carriers for different practical uses.","['CO2 storage', ' Porous materials', ' Mineral sequestration', ' Phosphogypsum', ' Energy storage using CO2', 'METAL-ORGANIC FRAMEWORK', ' HIGH-SURFACE-AREA', ' HIGH-PRESSURE ADSORPTION', ' CARBON-DIOXIDE', ' FORMIC-ACID', ' GAS-STORAGE', ' STEELMAKING SLAGS', ' ACTIVATED CARBONS', ' SUPERIOR CO2', ' ZEOLITE 13X']",2021.0,CHEM ENG J,['Engineering'],['VI'],False,1,True,129
Feeding Strategies to Increase Nitrogen Retention and Improve Rumen Fermentation and Rumen Microbial Population in Beef Steers Fed with Tropical Forages,"['Durango, SG', ' Barahona, R', ' Bolivar, D', ' Chirinda, N', ' Arango, J']","The effect of the inclusion of Leucaena leucocephala and Tithonia diversifolia in Zebu steers receiving a diet based on improved pastures such as Brachiaria decumbens and Brachiaria hybrid cv Cayman on nitrogen (N) excretion, urinary volume and rumen microbial population was evaluated. To determine the dry matter intake and nutrient excretion, eight steers were used in a 4 x 4 Latin square design consisting of four periods and four diets. Four of them were cannulated for ruminal fluid extraction and quantification of ruminal microorganisms in three times of grazing (T0, T7 and T15). Forage intake was calculated through the external marker titanium dioxide. Diet including forages with superior protein content generated an increase in the gene copy numbers of Prevotella ruminicola and total bacteria on 15 sampling day (p < 0.001). Animals receiving diets with the dietary inclusion of Leucaena and Tithonia had daily N intakes of 228 and 113.5g N intake d(-1), of which they excreted 42% and 61%, respectively. Inclusion of both protein forages increased daily urinary volume (9% and 7% d(-1)), with respect to the pasture-based diet. This study revealed that the inclusion of 18% Leucaena in a pasture-based diet improves the dry matter intake and N retention in Zebu steers under tropical conditions.","['dry matter intake', ' feed resources', ' Leucaena leucocephala', ' nitrogen balance', ' Tithonia diversifolia', ' total bacteria', ' urine volume', 'LEUCAENA-LEUCOCEPHALA PASTURES', ' REDUCE RUMINAL METHANOGENESIS', ' CRUDE PROTEIN-CONCENTRATION', ' TITHONIA-DIVERSIFOLIA', ' CONDENSED TANNINS', ' INTERNAL MARKERS', ' DAIRY-COWS', ' DIGESTIBILITY', ' GRASS', ' METHANE']",2021.0,SUSTAINABILITY-BASEL,"['Science & Technology - Other Topics', ' Environmental Sciences & Ecology']","['CGIAR', 'BBSRC', 'GROW']",False,3,False,91
Eco-friendly Geopolymer Composite Based on Non-heat-treated Phosphate Sludge Reinforced With Polypropylene Fibers,"['Haddaji, Y', ' Hamdane, H', ' Majdoubi, H', ' Mansouri, S', ' Allaoui, D', ' El Bouchti, M', ' Tamraoui, Y', ' Manoun, B', ' Oumam, M', ' Hannache, H']","Geopolymers produced with metakaolin (MK) and thermally untreated phosphate sludge (PS) are beneficial and environmentally advantageous materials, but their fragility limits its applications. The present research aims to evaluate the influence of polypropylene fibers PPF inclusion in MK/PS based geopolymers in view of overcoming the brittleness of these materials. The geopolymer matrix was prepared by mixing the thermally untreated phosphate sludge with the metakaolin in a proportion of 50% by weight, then short polypropylene fibers (PPFs) as reinforcement material were incorporated in amounts of 0.25, 0.50, 1, and 1.5%. Composite performances were assessed in the fresh state through flow measurement, and in the hardened state through the properties of the composites under bending and compressive loading conditions. In addition, the fiber/matrix interfacial contact area was examined using scanning electron microscopy (SEM). The outcomes demonstrate that the PPF incorporation of up to 1.5% by weight into MK/PS based geopolymer paste significantly improves the flexural strength with an increase of 41% (6.41 and 9.62 MPa), as well as leads to a slight decrease of compressive strength and density. The findings of the current research reveals also that MK/PS based geopolymers can achieve a high ductility with an adequate reinforcement.","['Geopolymer composite', ' Thermally untreated phosphate sludge', ' Metakaolin', ' Polypropylene fiber', ' Workability', ' Mechanical properties', 'FLY-ASH', ' MECHANICAL-PROPERTIES', ' POLYVINYL-ALCOHOL', ' FLEXURAL BEHAVIOR', ' MINE TAILINGS', ' LADLE SLAG', ' STEEL', ' PERFORMANCE', ' STRAIN', ' VALORIZATION']",2021.0,SILICON-NETH,"['Chemistry', ' Materials Science']","['CTPC', 'VI']",False,2,True,55
The molecular insights into protein adsorption on hematite surface disclosed by in-situ ATR-FTIR/2D-COS study,"['Barreto, MSC', ' Elzinga, EJ', ' Alleoni, LRF']","Proteins are of ubiquitous interest in the Life Sciences but are of interest in the Geosciences as well because of the significant role these compounds play in the biogeochemical cycling of trace and nutrient elements. Structural changes resulting from the adsorption of proteins onto mineral surfaces may alter protein biological function and other environmental interactions. Iron oxides are major sinks of a range of environmental elements including organic compounds. In this study, the adsorption of the broadly studied model protein BSA onto the hematite mineral surface was characterized as a function of pH, ionic strength, and BSA concentration using in-situ Attenuated Total Reflection Fourier Transform Infrared (ATR-FTIR) spectroscopy. BSA lost the alpha-helix and gain beta-sheets in the secondary structure during adsorption on hematite. BSA adsorption was maximum at pH 5, a value close to the BSA isoelectric point (similar to pH 5), and lower at pH 4 and pH 7. Increasing ionic strength decreased to total BSA adsorption. Two-dimensional correlation spectroscopy analysis of the ATR-FTIR spectra revealed that higher initial BSA concentration and the consequent higher BSA surface loading enhanced BSA adsorption by protein-protein interaction, which less ordered structures changes into more compact forms decrease, hence compacting the structural arrangement and could promoting multilayers/aggregation formation on the mineral surface. The activity of enzymes following adsorption on mineral surfaces requires further study.","['BOVINE SERUM-ALBUMIN', ' 2-DIMENSIONAL CORRELATION SPECTROSCOPY', ' TRANSFORM INFRARED-SPECTROSCOPY', ' SOIL ENZYME-ACTIVITIES', ' ATR-FTIR', ' PHOSPHATE ADSORPTION', ' SECONDARY STRUCTURE', ' IR SPECTROSCOPY', ' PH', ' DENATURATION']",2020.0,SCI REP-UK,['Science & Technology - Other Topics'],"['FAPESP', 'CAPES', 'CNPQ']",False,3,False,114
"Synthesis, structural refinement and physical properties of novel perovskite ceramics Ba1-xBixTi1-xMnxO3 (x=0.3 and 0.4)","['Chchiyai, Z', ' El Bachraoui, F', ' Tamraoui, Y', ' Bih, L', ' Lahmar, A', ' Faik, A', ' Alami, J', ' Manoun, B']","The crystal structure, morphological, optical, electrical and dielectric properties of polycrystalline perovskites of Ba1-xBixTi1-xMnxO3 (x = 0.3 and 0.4), prepared by the standard solid-state reaction process, were investigated systematically. From the X-ray diffraction results at ambient temperature, both samples showed the pure perovskite phase. Rietveld refinements revealed that the studied compounds adopt the cubic structure symmetry with Pm (3) over barm as a space group. Scanning electron microscopy demonstrated that the samples show irregularly spherical grains with an average size of 2 mu m. From UV-vis-NIR absorption spectra, the synthesized compounds exhibit a maximum absorbance in the whole visible range. Furthermore, the direct band gap energy was found to be 1.07 and 0.85 eV for x = 0.3 and 0.4, respectively. The electrical transport in these materials was studied by using the impedance spectroscopy from the room temperature to 110 degrees C. The modelling of complex impedance data was performed to separate the grain and grain-boundary contributions in the conduction process. The addition of Bi and Mn ions increased the dc electrical conductivity. The thermal variation of the dc electrical conductivity proved the semiconductor behavior of both studied compounds. The obtained activation energies from the dc conductivity for grain and grain-boundary contributions were found to be 0.39-0.36 eV for x = 0.3 and 0.20-0.32 eV for x = 0.4. The conduction mechanism was explained by hopping process along ionized oxygen vacancies. The dielectric permittivity and dielectric loss of both compositions showed an increase with increasing temperature.","['Perovskite ceramics', ' UV-visible absorption', ' Impedance spectroscopy', ' Electric conductivity', ' Dielectric properties', 'DIELECTRIC-PROPERTIES', ' DOPED BATIO3', ' OPTICAL-PROPERTIES', ' ELECTRICAL-PROPERTIES', ' MAGNETIC-PROPERTIES', ' CRYSTAL-STRUCTURE', ' MN', ' TEMPERATURE', ' IONS', ' PERMITTIVITY']",2021.0,MATER CHEM PHYS,['Materials Science'],"['Moroccan Ministry of Higher Education and Scientific Research', 'CNRST']",False,2,False,65
Marine Actinobacteria: Screening for Predation Leads to the Discovery of Potential New Drugs against Multidrug-Resistant Bacteria,"['Ibrahimi, M', ' Korichi, W', ' Hafidi, M', ' Lemee, L', ' Ouhdouch, Y', ' Loqman, S']","Predatory bacteria constitute a heterogeneous group of prokaryotes able to lyse and feed on the cellular constituents of other bacteria in conditions of nutrient scarcity. In this study, we describe the isolation of Actinobacteria predator of other bacteria from the marine water of the Moroccan Atlantic coast. Only 4 Actinobacteria isolates showing strong predation capability against native or multidrug-resistant Gram-positive or Gram-negative bacteria were identified among 142 isolated potential predatory bacteria. These actinobacterial predators were shown to belong to the Streptomyces genus and to inhibit the growth of various native or multidrug-resistant micro-organisms, including Micrococcus luteus, Staphylococcus aureus (native and methicillin-resistant), and Escherichia coli (native and ampicillin-resistant). Even if no clear correlation could be established between the antibacterial activities of the selected predator Actinobacteria and their predatory activity, we cannot exclude that some specific bio-active secondary metabolites were produced in this context and contributed to the killing and lysis of the bacteria. Indeed, the co-cultivation of Actinobacteria with other bacteria is known to lead to the production of compounds that are not produced in monoculture. Furthermore, the production of specific antibiotics is linked to the composition of the growth media that, in our co-culture conditions, exclusively consisted of the components of the prey living cells. Interestingly, our strategy led to the isolation of bacteria with interesting inhibitory activity against methicillin-resistant S. aureus (MRSA) as well as against Gram-negative bacteria.","['marine habitats', ' isolation', ' screening', ' predator Actinobacteria', ' antibiotic', ' multidrug-resistant bacteria', 'SECONDARY METABOLITES', ' ANTIBIOTIC PRODUCTION', ' GLIDING BACTERIA', ' GEN-NOV', ' STRAIN', ' IDENTIFICATION', ' BDELLOVIBRIO', ' ECOLOGY', ' CULTURE', ' PREY']",2020.0,ANTIBIOTICS-BASEL,"['Infectious Diseases', ' Pharmacology & Pharmacy']",['WA'],False,1,False,69
Modeling I-V curves of photovoltaic modules at indoor and outdoor conditions by using the Lambert function,"['Polo, J', ' Martin-Chivelet, N', ' Alonso-Garcia, MC', ' Zitouni, H', ' Alonso-Abella, M', ' Sanz-Saiz, C', ' Vela-Barrionuevo, N']","Accurate and robust modeling of the characteristic I-V curve of a photovoltaic module is essential in many applications focused on forecasting and predicting photovoltaic (PV) performance. The single diode equivalent model has been used extensively for representing the working principles of solar cells. This work presents a simple methodology for solving the single diode equation from the manufacture's datasheet parameters, by combining the Lambert-W function and an iterative procedure on the ideality factor of the diode, which has a fast convergence and robustness. The model has been assessed by comparing with experimental I-V curves measured for different modules at indoor and outdoor conditions with good results. Sensitivity analysis has been also done to indicate the possible impact of the uncertainty of the initial parameters that input the model.","['PV modeling', ' I-V curve', ' Indoor and outdoor conditions', 'W FUNCTION', ' PARAMETERS', ' IMPROVEMENT', ' VALIDATION']",2019.0,ENERG CONVERS MANAGE,"['Thermodynamics', ' Energy & Fuels', ' Mechanics']","['MINECO', ' European Regional Development FundEuropean Commission', 'MINECO', 'PCIN']",False,4,False,33
Concrete containing low-sulphide waste rocks as fine and coarse aggregates: Preliminary assessment of materials,"['Benarchid, Y', ' Taha, Y', ' Argane, R', ' Tagnit-Hamou, A', ' Benzaazoua, M']","The reuse of mining waste-rocks as construction material constitutes an innovative management approach consistent with the principles of sustainable development. Nevertheless, the implementation of this approach is still limited by most guidelines due principally to insufficient knowledge of these materials performances and to unjustified presumptions related to their chemical instability (presence of sulfide). This paper approaches these issues by assessing the reuse potential of low-sulfide mining waste rocks as aggregates for concrete regarding to the Quebec (Canada) recycling guidelines of non-hazardous inorganic wastes as construction materials. Toxicity characteristic leaching procedure (TCLP), comprehensive physical, chemical (XRF and ICP-AES) and mineralogical investigations (XRD and SEM) as well as modern automated mineral liberation analyses have been carried out. In addition, UCS results of various concrete mixtures using different binders were then presented to illustrate the reuse potential of the waste-rocks. The TCLP test showed the nonhazardous character of the waste rocks. They contained low sulfide content (0.5 wt%), which classify them as non-acid generating and able to meet the classification in recycling category including concrete production. Moreover, liberation analyses showed that most sulfides are concentrated in the fine fraction as pyrite occurrence with a liberated fraction of only 2%. These results influenced significantly the properties of the resulting concretes, which presented good mechanical performances especially when coarse waste rock above 20 mm and fine one below 80 mu m was removed. (C) 2019 Elsevier Ltd. All rights reserved.","['Mine wastes', ' Reuse potential', ' Mineral liberation analysis', ' Compressive strength', ' Aggregate', ' Concrete', ' Waste management', 'MINE TAILINGS', ' PORTLAND-CEMENT', ' COPPER TAILINGS', ' OXIDATION', ' SOLIDIFICATION', ' EXPANSIVITY', ' PYRITE', ' REUSE']",2019.0,J CLEAN PROD,"['Science & Technology - Other Topics', ' Engineering', ' Environmental Sciences & Ecology']",['NSERC'],False,1,False,54
